country,year_week,new_cases,number_sequenced,percent_cases_sequenced,variant,number_detections_variant,percent_variant
Netherlands,2021-03-14,38713,2027.0,5.2,B.1.1.7,1758,86.7
Norway,2021-03-14,5500,519.0,9.4,B.1.1.7,421,81.1
Poland,2021-03-14,116444,1084.0,0.9,B.1.1.7,968,89.3
Portugal,2021-03-14,4054,408.0,10.1,B.1.1.7,333,81.6
Romania,2021-03-14,32118,86.0,0.3,B.1.1.7,70,81.4
Slovakia,2021-03-14,14174,171.0,1.2,B.1.1.7,161,94.2
Slovenia,2021-03-14,4898,504.0,10.3,B.1.1.7,215,42.7
Spain,2021-03-14,34092,647.0,1.9,B.1.1.7,518,80.1
Sweden,2021-03-14,28565,1515.0,5.3,B.1.1.7,1381,91.2
Austria,2021-03-14,18851,310.0,1.6,B.1.351,14,4.5
Belgium,2021-03-14,21401,1255.0,5.9,B.1.351,105,8.4
Bulgaria,2021-03-14,18249,268.0,1.5,B.1.351,0,0.0
Croatia,2021-03-14,4566,10.0,0.2,B.1.351,2,20.0
Cyprus,2021-03-14,2773,0.0,0.0,B.1.351,0,
Czechia,2021-03-14,77129,145.0,0.2,B.1.351,16,11.0
Denmark,2021-03-14,5807,0.0,0.0,B.1.351,0,
Estonia,2021-03-14,9903,194.0,2.0,B.1.351,1,0.5
Finland,2021-03-14,4812,10.0,0.2,B.1.351,3,30.0
France,2021-03-14,167429,1260.0,0.8,B.1.351,80,6.3
Germany,2021-03-14,70656,6381.0,9.0,B.1.351,158,2.5
Greece,2021-03-14,16027,87.0,0.5,B.1.351,2,2.3
Hungary,2021-03-14,55483,0.0,0.0,B.1.351,0,
Iceland,2021-03-14,19,0.0,0.0,B.1.351,0,
Ireland,2021-03-14,3522,782.0,22.2,B.1.351,8,1.0
Italy,2021-03-14,155656,2367.0,1.5,B.1.351,4,0.2
Latvia,2021-03-14,3450,388.0,11.2,B.1.351,1,0.3
Liechtenstein,2021-03-14,21,0.0,0.0,B.1.351,0,
Lithuania,2021-03-14,3214,199.0,6.2,B.1.351,2,1.0
Luxembourg,2021-03-14,1231,198.0,16.1,B.1.351,44,22.2
Malta,2021-03-14,1704,0.0,0.0,B.1.351,0,
Netherlands,2021-03-14,38713,2027.0,5.2,B.1.351,67,3.3
Norway,2021-03-14,5500,519.0,9.4,B.1.351,50,9.6
Poland,2021-03-14,116444,1084.0,0.9,B.1.351,2,0.2
Portugal,2021-03-14,4054,408.0,10.1,B.1.351,12,2.9
Romania,2021-03-14,32118,86.0,0.3,B.1.351,0,0.0
Slovakia,2021-03-14,14174,171.0,1.2,B.1.351,6,3.5
Slovenia,2021-03-14,4898,504.0,10.3,B.1.351,5,1.0
Spain,2021-03-14,34092,647.0,1.9,B.1.351,4,0.6
Sweden,2021-03-14,28565,1515.0,5.3,B.1.351,54,3.6
Austria,2021-03-14,18851,310.0,1.6,Other,44,14.2
Belgium,2021-03-14,21401,1255.0,5.9,Other,183,14.6
Bulgaria,2021-03-14,18249,268.0,1.5,Other,1,0.4
Croatia,2021-03-14,4566,10.0,0.2,Other,1,10.0
Cyprus,2021-03-14,2773,0.0,0.0,Other,0,
Czechia,2021-03-14,77129,145.0,0.2,Other,12,8.3
Denmark,2021-03-14,5807,0.0,0.0,Other,0,
Estonia,2021-03-14,9903,194.0,2.0,Other,40,20.6
Finland,2021-03-14,4812,10.0,0.2,Other,5,50.0
France,2021-03-14,167429,1260.0,0.8,Other,360,28.6
Germany,2021-03-14,70656,6381.0,9.0,Other,1452,22.8
Greece,2021-03-14,16027,87.0,0.5,Other,5,5.7
Hungary,2021-03-14,55483,0.0,0.0,Other,0,
Iceland,2021-03-14,19,0.0,0.0,Other,0,
Ireland,2021-03-14,3522,782.0,22.2,Other,23,2.9
Italy,2021-03-14,155656,2367.0,1.5,Other,414,17.5
Latvia,2021-03-14,3450,388.0,11.2,Other,209,53.9
Liechtenstein,2021-03-14,21,0.0,0.0,Other,0,
Lithuania,2021-03-14,3214,199.0,6.2,Other,89,44.7
Luxembourg,2021-03-14,1231,198.0,16.1,Other,31,15.7
Malta,2021-03-14,1704,0.0,0.0,Other,0,
Netherlands,2021-03-14,38713,2027.0,5.2,Other,184,9.1
Norway,2021-03-14,5500,519.0,9.4,Other,47,9.1
Poland,2021-03-14,116444,1084.0,0.9,Other,114,10.5
Portugal,2021-03-14,4054,408.0,10.1,Other,60,14.7
Romania,2021-03-14,32118,86.0,0.3,Other,16,18.6
Slovakia,2021-03-14,14174,171.0,1.2,Other,4,2.3
Slovenia,2021-03-14,4898,504.0,10.3,Other,284,56.3
Spain,2021-03-14,34092,647.0,1.9,Other,124,19.2
Sweden,2021-03-14,28565,1515.0,5.3,Other,79,5.2
Austria,2021-03-14,18851,310.0,1.6,P.1,0,0.0
Belgium,2021-03-14,21401,1255.0,5.9,P.1,43,3.4
Bulgaria,2021-03-14,18249,268.0,1.5,P.1,0,0.0
Croatia,2021-03-14,4566,10.0,0.2,P.1,0,0.0
Cyprus,2021-03-14,2773,0.0,0.0,P.1,0,
Czechia,2021-03-14,77129,145.0,0.2,P.1,0,0.0
Denmark,2021-03-14,5807,0.0,0.0,P.1,0,
Estonia,2021-03-14,9903,194.0,2.0,P.1,0,0.0
Finland,2021-03-14,4812,10.0,0.2,P.1,0,0.0
France,2021-03-14,167429,1260.0,0.8,P.1,13,1.0
Germany,2021-03-14,70656,6381.0,9.0,P.1,17,0.3
Greece,2021-03-14,16027,87.0,0.5,P.1,0,0.0
Hungary,2021-03-14,55483,0.0,0.0,P.1,0,
Iceland,2021-03-14,19,0.0,0.0,P.1,0,
Ireland,2021-03-14,3522,782.0,22.2,P.1,1,0.1
Italy,2021-03-14,155656,2367.0,1.5,P.1,71,3.0
Latvia,2021-03-14,3450,388.0,11.2,P.1,0,0.0
Liechtenstein,2021-03-14,21,0.0,0.0,P.1,0,
Lithuania,2021-03-14,3214,199.0,6.2,P.1,0,0.0
Luxembourg,2021-03-14,1231,198.0,16.1,P.1,0,0.0
Malta,2021-03-14,1704,0.0,0.0,P.1,0,
Netherlands,2021-03-14,38713,2027.0,5.2,P.1,18,0.9
Norway,2021-03-14,5500,519.0,9.4,P.1,1,0.2
Poland,2021-03-14,116444,1084.0,0.9,P.1,0,0.0
Portugal,2021-03-14,4054,408.0,10.1,P.1,3,0.7
Romania,2021-03-14,32118,86.0,0.3,P.1,0,0.0
Slovakia,2021-03-14,14174,171.0,1.2,P.1,0,0.0
Slovenia,2021-03-14,4898,504.0,10.3,P.1,0,0.0
Spain,2021-03-14,34092,647.0,1.9,P.1,1,0.2
Sweden,2021-03-14,28565,1515.0,5.3,P.1,1,0.1
Austria,2021-03-21,20991,225.0,1.1,B.1.1.7,210,93.3
Belgium,2021-03-21,29403,1198.0,4.1,B.1.1.7,951,79.4
Bulgaria,2021-03-21,24866,168.0,0.7,B.1.1.7,163,97.0
Croatia,2021-03-21,6615,0.0,0.0,B.1.1.7,0,
Cyprus,2021-03-21,2567,0.0,0.0,B.1.1.7,0,
Czechia,2021-03-21,64913,185.0,0.3,B.1.1.7,172,93.0
Denmark,2021-03-21,5206,0.0,0.0,B.1.1.7,0,
Estonia,2021-03-21,10308,195.0,1.9,B.1.1.7,155,79.5
Finland,2021-03-21,4739,10.0,0.2,B.1.1.7,7,70.0
France,2021-03-21,210941,2698.0,1.3,B.1.1.7,2115,78.4
Germany,2021-03-21,91376,7235.0,7.9,B.1.1.7,6094,84.2
Greece,2021-03-21,15978,133.0,0.8,B.1.1.7,117,88.0
Hungary,2021-03-21,56446,0.0,0.0,B.1.1.7,0,
Iceland,2021-03-21,36,0.0,0.0,B.1.1.7,0,
Ireland,2021-03-21,3858,905.0,23.5,B.1.1.7,854,94.4
Italy,2021-03-21,153234,2366.0,1.5,B.1.1.7,1977,83.6
Latvia,2021-03-21,3628,405.0,11.2,B.1.1.7,215,53.1
Liechtenstein,2021-03-21,19,0.0,0.0,B.1.1.7,0,
Lithuania,2021-03-21,3696,1147.0,31.0,B.1.1.7,687,59.9
Luxembourg,2021-03-21,1539,357.0,23.2,B.1.1.7,233,65.3
Malta,2021-03-21,1313,0.0,0.0,B.1.1.7,0,
Netherlands,2021-03-21,45084,1618.0,3.6,B.1.1.7,1432,88.5
Norway,2021-03-21,6499,389.0,6.0,B.1.1.7,335,86.1
Poland,2021-03-21,155602,776.0,0.5,B.1.1.7,730,94.1
Portugal,2021-03-21,3265,26.0,0.8,B.1.1.7,10,38.5
Romania,2021-03-21,38177,20.0,0.1,B.1.1.7,18,90.0
Slovakia,2021-03-21,11310,253.0,2.2,B.1.1.7,245,96.8
Slovenia,2021-03-21,5738,752.0,13.1,B.1.1.7,416,55.3
Spain,2021-03-21,33741,602.0,1.8,B.1.1.7,512,85.0
Sweden,2021-03-21,33042,1507.0,4.6,B.1.1.7,1365,90.6
Austria,2021-03-21,20991,225.0,1.1,B.1.351,1,0.4
Belgium,2021-03-21,29403,1198.0,4.1,B.1.351,89,7.4
