country,year_week,new_cases,number_sequenced,percent_cases_sequenced,variant,number_detections_variant,percent_variant
Slovakia,2021-03-28,8845,287.0,3.2,B.1.1.7,283,98.6
Slovenia,2021-03-28,6648,967.0,14.5,B.1.1.7,663,68.6
Spain,2021-03-28,42022,608.0,1.4,B.1.1.7,509,83.7
Sweden,2021-03-28,37902,2651.0,7.0,B.1.1.7,2526,95.3
Austria,2021-03-28,21849,82.0,0.4,B.1.351,1,1.2
Belgium,2021-03-28,33868,1332.0,3.9,B.1.351,42,3.2
Bulgaria,2021-03-28,25330,41.0,0.2,B.1.351,0,0.0
Croatia,2021-03-28,9733,0.0,0.0,B.1.351,0,
Cyprus,2021-03-28,2413,0.0,0.0,B.1.351,0,
Czechia,2021-03-28,49439,12.0,0.0,B.1.351,1,8.3
Denmark,2021-03-28,2415,0.0,0.0,B.1.351,0,
Estonia,2021-03-28,7820,217.0,2.8,B.1.351,0,0.0
Finland,2021-03-28,4352,4.0,0.1,B.1.351,0,0.0
France,2021-03-28,262986,1388.0,0.5,B.1.351,47,3.4
Germany,2021-03-28,115048,7360.0,6.4,B.1.351,154,2.1
Greece,2021-03-28,16906,2.0,0.0,B.1.351,0,0.0
Hungary,2021-03-28,60482,0.0,0.0,B.1.351,0,
Iceland,2021-03-28,64,0.0,0.0,B.1.351,0,
Ireland,2021-03-28,3942,835.0,21.2,B.1.351,3,0.4
Italy,2021-03-28,155681,1178.0,0.8,B.1.351,3,0.3
Latvia,2021-03-28,3631,232.0,6.4,B.1.351,1,0.4
Liechtenstein,2021-03-28,30,0.0,0.0,B.1.351,0,
Lithuania,2021-03-28,5025,736.0,14.6,B.1.351,1,0.1
Luxembourg,2021-03-28,1339,360.0,26.9,B.1.351,79,21.9
Malta,2021-03-28,619,0.0,0.0,B.1.351,0,
Netherlands,2021-03-28,51280,1625.0,3.2,B.1.351,47,2.9
Norway,2021-03-28,6206,132.0,2.1,B.1.351,5,3.8
Poland,2021-03-28,194835,718.0,0.4,B.1.351,3,0.4
Portugal,2021-03-28,2938,12.0,0.4,B.1.351,2,16.7
Romania,2021-03-28,39585,9.0,0.0,B.1.351,1,11.1
Slovakia,2021-03-28,8845,287.0,3.2,B.1.351,0,0.0
Slovenia,2021-03-28,6648,967.0,14.5,B.1.351,0,0.0
Spain,2021-03-28,42022,608.0,1.4,B.1.351,3,0.5
Sweden,2021-03-28,37902,2651.0,7.0,B.1.351,75,2.8
Austria,2021-03-28,21849,82.0,0.4,Other,3,3.7
Belgium,2021-03-28,33868,1332.0,3.9,Other,113,8.5
Bulgaria,2021-03-28,25330,41.0,0.2,Other,1,2.4
Croatia,2021-03-28,9733,0.0,0.0,Other,0,
Cyprus,2021-03-28,2413,0.0,0.0,Other,0,
Czechia,2021-03-28,49439,12.0,0.0,Other,1,8.3
Denmark,2021-03-28,2415,0.0,0.0,Other,0,
Estonia,2021-03-28,7820,217.0,2.8,Other,23,10.6
Finland,2021-03-28,4352,4.0,0.1,Other,3,75.0
France,2021-03-28,262986,1388.0,0.5,Other,277,20.0
Germany,2021-03-28,115048,7360.0,6.4,Other,752,10.2
Greece,2021-03-28,16906,2.0,0.0,Other,2,100.0
Hungary,2021-03-28,60482,0.0,0.0,Other,0,
Iceland,2021-03-28,64,0.0,0.0,Other,0,
Ireland,2021-03-28,3942,835.0,21.2,Other,32,3.8
Italy,2021-03-28,155681,1178.0,0.8,Other,116,9.8
Latvia,2021-03-28,3631,232.0,6.4,Other,61,26.3
Liechtenstein,2021-03-28,30,0.0,0.0,Other,0,
Lithuania,2021-03-28,5025,736.0,14.6,Other,170,23.1
Luxembourg,2021-03-28,1339,360.0,26.9,Other,21,5.8
Malta,2021-03-28,619,0.0,0.0,Other,0,
Netherlands,2021-03-28,51280,1625.0,3.2,Other,43,2.6
Norway,2021-03-28,6206,132.0,2.1,Other,3,2.3
Poland,2021-03-28,194835,718.0,0.4,Other,23,3.2
Portugal,2021-03-28,2938,12.0,0.4,Other,1,8.3
Romania,2021-03-28,39585,9.0,0.0,Other,5,55.6
Slovakia,2021-03-28,8845,287.0,3.2,Other,4,1.4
Slovenia,2021-03-28,6648,967.0,14.5,Other,304,31.4
Spain,2021-03-28,42022,608.0,1.4,Other,72,11.8
Sweden,2021-03-28,37902,2651.0,7.0,Other,48,1.8
Austria,2021-03-28,21849,82.0,0.4,P.1,0,0.0
Belgium,2021-03-28,33868,1332.0,3.9,P.1,71,5.3
Bulgaria,2021-03-28,25330,41.0,0.2,P.1,0,0.0
Croatia,2021-03-28,9733,0.0,0.0,P.1,0,
Cyprus,2021-03-28,2413,0.0,0.0,P.1,0,
Czechia,2021-03-28,49439,12.0,0.0,P.1,0,0.0
Denmark,2021-03-28,2415,0.0,0.0,P.1,0,
Estonia,2021-03-28,7820,217.0,2.8,P.1,0,0.0
Finland,2021-03-28,4352,4.0,0.1,P.1,0,0.0
France,2021-03-28,262986,1388.0,0.5,P.1,2,0.1
Germany,2021-03-28,115048,7360.0,6.4,P.1,10,0.1
Greece,2021-03-28,16906,2.0,0.0,P.1,0,0.0
Hungary,2021-03-28,60482,0.0,0.0,P.1,0,
Iceland,2021-03-28,64,0.0,0.0,P.1,0,
Ireland,2021-03-28,3942,835.0,21.2,P.1,4,0.5
Italy,2021-03-28,155681,1178.0,0.8,P.1,42,3.6
Latvia,2021-03-28,3631,232.0,6.4,P.1,0,0.0
Liechtenstein,2021-03-28,30,0.0,0.0,P.1,0,
Lithuania,2021-03-28,5025,736.0,14.6,P.1,0,0.0
Luxembourg,2021-03-28,1339,360.0,26.9,P.1,0,0.0
Malta,2021-03-28,619,0.0,0.0,P.1,0,
Netherlands,2021-03-28,51280,1625.0,3.2,P.1,46,2.8
Norway,2021-03-28,6206,132.0,2.1,P.1,0,0.0
Poland,2021-03-28,194835,718.0,0.4,P.1,0,0.0
Portugal,2021-03-28,2938,12.0,0.4,P.1,5,41.7
Romania,2021-03-28,39585,9.0,0.0,P.1,0,0.0
Slovakia,2021-03-28,8845,287.0,3.2,P.1,0,0.0
Slovenia,2021-03-28,6648,967.0,14.5,P.1,0,0.0
Spain,2021-03-28,42022,608.0,1.4,P.1,24,3.9
Sweden,2021-03-28,37902,2651.0,7.0,P.1,2,0.1
Austria,2021-04-04,21900,68.0,0.3,B.1.1.7,60,88.2
Belgium,2021-04-04,29781,990.0,3.3,B.1.1.7,831,83.9
Bulgaria,2021-04-04,24246,0.0,0.0,B.1.1.7,0,
Croatia,2021-04-04,12642,0.0,0.0,B.1.1.7,0,
Cyprus,2021-04-04,3082,0.0,0.0,B.1.1.7,0,
Czechia,2021-04-04,37048,44.0,0.1,B.1.1.7,43,97.7
Denmark,2021-04-04,5105,0.0,0.0,B.1.1.7,0,
Estonia,2021-04-04,5567,202.0,3.6,B.1.1.7,187,92.6
Finland,2021-04-04,3312,1.0,0.0,B.1.1.7,0,0.0
France,2021-04-04,276881,1646.0,0.6,B.1.1.7,1353,82.2
Germany,2021-04-04,111610,7049.0,6.3,B.1.1.7,6318,89.6
Greece,2021-04-04,21383,6.0,0.0,B.1.1.7,0,0.0
Hungary,2021-04-04,48729,0.0,0.0,B.1.1.7,0,
Iceland,2021-04-04,42,0.0,0.0,B.1.1.7,0,
Ireland,2021-04-04,3607,437.0,12.1,B.1.1.7,426,97.5
Italy,2021-04-04,136207,1358.0,1.0,B.1.1.7,1235,90.9
Latvia,2021-04-04,3065,44.0,1.4,B.1.1.7,36,81.8
Liechtenstein,2021-04-04,33,0.0,0.0,B.1.1.7,0,
Lithuania,2021-04-04,5847,343.0,5.9,B.1.1.7,271,79.0
Luxembourg,2021-04-04,1605,14.0,0.9,B.1.1.7,8,57.1
Malta,2021-04-04,341,0.0,0.0,B.1.1.7,0,
Netherlands,2021-04-04,48242,1584.0,3.3,B.1.1.7,1484,93.7
Norway,2021-04-04,5529,59.0,1.1,B.1.1.7,52,88.1
Poland,2021-04-04,180499,318.0,0.2,B.1.1.7,310,97.5
Portugal,2021-04-04,2778,4.0,0.1,B.1.1.7,2,50.0
Romania,2021-04-04,37543,7.0,0.0,B.1.1.7,2,28.6
Slovakia,2021-04-04,7285,276.0,3.8,B.1.1.7,269,97.5
Slovenia,2021-04-04,7460,467.0,6.3,B.1.1.7,326,69.8
Spain,2021-04-04,40500,451.0,1.1,B.1.1.7,359,79.6
Sweden,2021-04-04,38415,1562.0,4.1,B.1.1.7,1520,97.3
Austria,2021-04-04,21900,68.0,0.3,B.1.351,0,0.0
Belgium,2021-04-04,29781,990.0,3.3,B.1.351,28,2.8
Bulgaria,2021-04-04,24246,0.0,0.0,B.1.351,0,
Croatia,2021-04-04,12642,0.0,0.0,B.1.351,0,
Cyprus,2021-04-04,3082,0.0,0.0,B.1.351,0,
Czechia,2021-04-04,37048,44.0,0.1,B.1.351,0,0.0
Denmark,2021-04-04,5105,0.0,0.0,B.1.351,0,
Estonia,2021-04-04,5567,202.0,3.6,B.1.351,1,0.5
Finland,2021-04-04,3312,1.0,0.0,B.1.351,0,0.0
France,2021-04-04,276881,1646.0,0.6,B.1.351,109,6.6
Germany,2021-04-04,111610,7049.0,6.3,B.1.351,121,1.7
Greece,2021-04-04,21383,6.0,0.0,B.1.351,6,100.0
Hungary,2021-04-04,48729,0.0,0.0,B.1.351,0,
Iceland,2021-04-04,42,0.0,0.0,B.1.351,0,
Ireland,2021-04-04,3607,437.0,12.1,B.1.351,4,0.9
Italy,2021-04-04,136207,1358.0,1.0,B.1.351,1,0.1
Latvia,2021-04-04,3065,44.0,1.4,B.1.351,0,0.0
Liechtenstein,2021-04-04,33,0.0,0.0,B.1.351,0,
Lithuania,2021-04-04,5847,343.0,5.9,B.1.351,0,0.0
Luxembourg,2021-04-04,1605,14.0,0.9,B.1.351,5,35.7
Malta,2021-04-04,341,0.0,0.0,B.1.351,0,
Netherlands,2021-04-04,48242,1584.0,3.3,B.1.351,42,2.7
Norway,2021-04-04,5529,59.0,1.1,B.1.351,7,11.9
Poland,2021-04-04,180499,318.0,0.2,B.1.351,1,0.3
Portugal,2021-04-04,2778,4.0,0.1,B.1.351,1,25.0
Romania,2021-04-04,37543,7.0,0.0,B.1.351,0,0.0
Slovakia,2021-04-04,7285,276.0,3.8,B.1.351,0,0.0
Slovenia,2021-04-04,7460,467.0,6.3,B.1.351,0,0.0
Spain,2021-04-04,40500,451.0,1.1,B.1.351,16,3.5
Sweden,2021-04-04,38415,1562.0,4.1,B.1.351,15,1.0
Austria,2021-04-04,21900,68.0,0.3,Other,8,11.8
Belgium,2021-04-04,29781,990.0,3.3,Other,72,7.3
Bulgaria,2021-04-04,24246,0.0,0.0,Other,0,
Croatia,2021-04-04,12642,0.0,0.0,Other,0,
Cyprus,2021-04-04,3082,0.0,0.0,Other,0,
Czechia,2021-04-04,37048,44.0,0.1,Other,1,2.3
Denmark,2021-04-04,5105,0.0,0.0,Other,0,
Estonia,2021-04-04,5567,202.0,3.6,Other,14,6.9
Finland,2021-04-04,3312,1.0,0.0,Other,1,100.0
France,2021-04-04,276881,1646.0,0.6,Other,176,10.7
Germany,2021-04-04,111610,7049.0,6.3,Other,594,8.4
Greece,2021-04-04,21383,6.0,0.0,Other,0,0.0
Hungary,2021-04-04,48729,0.0,0.0,Other,0,
Iceland,2021-04-04,42,0.0,0.0,Other,0,
Ireland,2021-04-04,3607,437.0,12.1,Other,7,1.6
Italy,2021-04-04,136207,1358.0,1.0,Other,78,5.7
Latvia,2021-04-04,3065,44.0,1.4,Other,8,18.2
Liechtenstein,2021-04-04,33,0.0,0.0,Other,0,
Lithuania,2021-04-04,5847,343.0,5.9,Other,72,21.0
Luxembourg,2021-04-04,1605,14.0,0.9,Other,1,7.1
Malta,2021-04-04,341,0.0,0.0,Other,0,
Netherlands,2021-04-04,48242,1584.0,3.3,Other,36,2.3
Norway,2021-04-04,5529,59.0,1.1,Other,0,0.0
Poland,2021-04-04,180499,318.0,0.2,Other,7,2.2
Portugal,2021-04-04,2778,4.0,0.1,Other,0,0.0
Romania,2021-04-04,37543,7.0,0.0,Other,4,57.1
Slovakia,2021-04-04,7285,276.0,3.8,Other,7,2.5
Slovenia,2021-04-04,7460,467.0,6.3,Other,141,30.2
Spain,2021-04-04,40500,451.0,1.1,Other,45,10.0
Sweden,2021-04-04,38415,1562.0,4.1,Other,27,1.7
Austria,2021-04-04,21900,68.0,0.3,P.1,0,0.0
Belgium,2021-04-04,29781,990.0,3.3,P.1,59,6.0
Bulgaria,2021-04-04,24246,0.0,0.0,P.1,0,
Croatia,2021-04-04,12642,0.0,0.0,P.1,0,
Cyprus,2021-04-04,3082,0.0,0.0,P.1,0,
Czechia,2021-04-04,37048,44.0,0.1,P.1,0,0.0
Denmark,2021-04-04,5105,0.0,0.0,P.1,0,
Estonia,2021-04-04,5567,202.0,3.6,P.1,0,0.0
Finland,2021-04-04,3312,1.0,0.0,P.1,0,0.0
France,2021-04-04,276881,1646.0,0.6,P.1,7,0.4
Germany,2021-04-04,111610,7049.0,6.3,P.1,14,0.2
Greece,2021-04-04,21383,6.0,0.0,P.1,0,0.0
Hungary,2021-04-04,48729,0.0,0.0,P.1,0,
Iceland,2021-04-04,42,0.0,0.0,P.1,0,
Ireland,2021-04-04,3607,437.0,12.1,P.1,0,0.0
Italy,2021-04-04,136207,1358.0,1.0,P.1,44,3.2
Latvia,2021-04-04,3065,44.0,1.4,P.1,0,0.0
Liechtenstein,2021-04-04,33,0.0,0.0,P.1,0,
Lithuania,2021-04-04,5847,343.0,5.9,P.1,0,0.0
Luxembourg,2021-04-04,1605,14.0,0.9,P.1,0,0.0
Malta,2021-04-04,341,0.0,0.0,P.1,0,
Netherlands,2021-04-04,48242,1584.0,3.3,P.1,21,1.3
Norway,2021-04-04,5529,59.0,1.1,P.1,0,0.0
Poland,2021-04-04,180499,318.0,0.2,P.1,0,0.0
Portugal,2021-04-04,2778,4.0,0.1,P.1,1,25.0
Romania,2021-04-04,37543,7.0,0.0,P.1,1,14.3
Slovakia,2021-04-04,7285,276.0,3.8,P.1,0,0.0
Slovenia,2021-04-04,7460,467.0,6.3,P.1,0,0.0
Spain,2021-04-04,40500,451.0,1.1,P.1,31,6.9
Sweden,2021-04-04,38415,1562.0,4.1,P.1,0,0.0
Austria,2021-04-11,18533,46.0,0.2,B.1.1.7,43,93.5
Belgium,2021-04-11,24062,559.0,2.3,B.1.1.7,465,83.2
Bulgaria,2021-04-11,18994,0.0,0.0,B.1.1.7,0,
Croatia,2021-04-11,12774,0.0,0.0,B.1.1.7,0,
Cyprus,2021-04-11,3792,0.0,0.0,B.1.1.7,0,
Czechia,2021-04-11,27364,0.0,0.0,B.1.1.7,0,
Denmark,2021-04-11,4509,0.0,0.0,B.1.1.7,0,
Estonia,2021-04-11,4662,4.0,0.1,B.1.1.7,3,75.0
Finland,2021-04-11,2541,0.0,0.0,B.1.1.7,0,
France,2021-04-11,236210,461.0,0.2,B.1.1.7,385,83.5
Germany,2021-04-11,117630,5874.0,5.0,B.1.1.7,5510,93.8
Greece,2021-04-11,20066,5.0,0.0,B.1.1.7,0,0.0
Hungary,2021-04-11,35388,0.0,0.0,B.1.1.7,0,
Iceland,2021-04-11,42,0.0,0.0,B.1.1.7,0,
Ireland,2021-04-11,2797,516.0,18.4,B.1.1.7,463,89.7
Italy,2021-04-11,101550,637.0,0.6,B.1.1.7,562,88.2
Latvia,2021-04-11,3503,0.0,0.0,B.1.1.7,0,
Liechtenstein,2021-04-11,71,0.0,0.0,B.1.1.7,0,
Lithuania,2021-04-11,6571,27.0,0.4,B.1.1.7,22,81.5
Luxembourg,2021-04-11,1290,0.0,0.0,B.1.1.7,0,
Malta,2021-04-11,382,0.0,0.0,B.1.1.7,0,
Netherlands,2021-04-11,49814,708.0,1.4,B.1.1.7,664,93.8
Norway,2021-04-11,4946,28.0,0.6,B.1.1.7,27,96.4
Poland,2021-04-11,138184,178.0,0.1,B.1.1.7,177,99.4
Portugal,2021-04-11,4271,428.0,10.0,B.1.1.7,380,88.8
Romania,2021-04-11,30504,24.0,0.1,B.1.1.7,23,95.8
Slovakia,2021-04-11,5768,146.0,2.5,B.1.1.7,145,99.3
Slovenia,2021-04-11,6362,49.0,0.8,B.1.1.7,40,81.6
Spain,2021-04-11,58931,360.0,0.6,B.1.1.7,288,80.0
Sweden,2021-04-11,41170,278.0,0.7,B.1.1.7,260,93.5
Austria,2021-04-11,18533,46.0,0.2,B.1.351,0,0.0
Belgium,2021-04-11,24062,559.0,2.3,B.1.351,9,1.6
Bulgaria,2021-04-11,18994,0.0,0.0,B.1.351,0,
Croatia,2021-04-11,12774,0.0,0.0,B.1.351,0,
Cyprus,2021-04-11,3792,0.0,0.0,B.1.351,0,
Czechia,2021-04-11,27364,0.0,0.0,B.1.351,0,
Denmark,2021-04-11,4509,0.0,0.0,B.1.351,0,
Estonia,2021-04-11,4662,4.0,0.1,B.1.351,0,0.0
Finland,2021-04-11,2541,0.0,0.0,B.1.351,0,
France,2021-04-11,236210,461.0,0.2,B.1.351,18,3.9
Germany,2021-04-11,117630,5874.0,5.0,B.1.351,114,1.9
Greece,2021-04-11,20066,5.0,0.0,B.1.351,3,60.0
Hungary,2021-04-11,35388,0.0,0.0,B.1.351,0,
Iceland,2021-04-11,42,0.0,0.0,B.1.351,0,
Ireland,2021-04-11,2797,516.0,18.4,B.1.351,5,1.0
Italy,2021-04-11,101550,637.0,0.6,B.1.351,2,0.3
Latvia,2021-04-11,3503,0.0,0.0,B.1.351,0,
Liechtenstein,2021-04-11,71,0.0,0.0,B.1.351,0,
Lithuania,2021-04-11,6571,27.0,0.4,B.1.351,0,0.0
Luxembourg,2021-04-11,1290,0.0,0.0,B.1.351,0,
Malta,2021-04-11,382,0.0,0.0,B.1.351,0,
Netherlands,2021-04-11,49814,708.0,1.4,B.1.351,16,2.3
Norway,2021-04-11,4946,28.0,0.6,B.1.351,1,3.6
Poland,2021-04-11,138184,178.0,0.1,B.1.351,0,0.0
Portugal,2021-04-11,4271,428.0,10.0,B.1.351,7,1.6
Romania,2021-04-11,30504,24.0,0.1,B.1.351,0,0.0
Slovakia,2021-04-11,5768,146.0,2.5,B.1.351,0,0.0
Slovenia,2021-04-11,6362,49.0,0.8,B.1.351,0,0.0
Spain,2021-04-11,58931,360.0,0.6,B.1.351,2,0.6
Sweden,2021-04-11,41170,278.0,0.7,B.1.351,7,2.5
Austria,2021-04-11,18533,46.0,0.2,Other,3,6.5
Belgium,2021-04-11,24062,559.0,2.3,Other,34,6.1
Bulgaria,2021-04-11,18994,0.0,0.0,Other,0,
Croatia,2021-04-11,12774,0.0,0.0,Other,0,
Cyprus,2021-04-11,3792,0.0,0.0,Other,0,
Czechia,2021-04-11,27364,0.0,0.0,Other,0,
Denmark,2021-04-11,4509,0.0,0.0,Other,0,
Estonia,2021-04-11,4662,4.0,0.1,Other,1,25.0
Finland,2021-04-11,2541,0.0,0.0,Other,0,
France,2021-04-11,236210,461.0,0.2,Other,53,11.5
Germany,2021-04-11,117630,5874.0,5.0,Other,235,4.0
Greece,2021-04-11,20066,5.0,0.0,Other,2,40.0
Hungary,2021-04-11,35388,0.0,0.0,Other,0,
Iceland,2021-04-11,42,0.0,0.0,Other,0,
Ireland,2021-04-11,2797,516.0,18.4,Other,46,8.9
Italy,2021-04-11,101550,637.0,0.6,Other,40,6.3
Latvia,2021-04-11,3503,0.0,0.0,Other,0,
Liechtenstein,2021-04-11,71,0.0,0.0,Other,0,
Lithuania,2021-04-11,6571,27.0,0.4,Other,5,18.5
Luxembourg,2021-04-11,1290,0.0,0.0,Other,0,
Malta,2021-04-11,382,0.0,0.0,Other,0,
Netherlands,2021-04-11,49814,708.0,1.4,Other,11,1.6
Norway,2021-04-11,4946,28.0,0.6,Other,0,0.0
Poland,2021-04-11,138184,178.0,0.1,Other,1,0.6
Portugal,2021-04-11,4271,428.0,10.0,Other,9,2.1
Romania,2021-04-11,30504,24.0,0.1,Other,1,4.2
Slovakia,2021-04-11,5768,146.0,2.5,Other,1,0.7
Slovenia,2021-04-11,6362,49.0,0.8,Other,9,18.4
Spain,2021-04-11,58931,360.0,0.6,Other,42,11.7
Sweden,2021-04-11,41170,278.0,0.7,Other,11,4.0
Austria,2021-04-11,18533,46.0,0.2,P.1,0,0.0
Belgium,2021-04-11,24062,559.0,2.3,P.1,51,9.1
Bulgaria,2021-04-11,18994,0.0,0.0,P.1,0,
Croatia,2021-04-11,12774,0.0,0.0,P.1,0,
Cyprus,2021-04-11,3792,0.0,0.0,P.1,0,
Czechia,2021-04-11,27364,0.0,0.0,P.1,0,
Denmark,2021-04-11,4509,0.0,0.0,P.1,0,
Estonia,2021-04-11,4662,4.0,0.1,P.1,0,0.0
Finland,2021-04-11,2541,0.0,0.0,P.1,0,
France,2021-04-11,236210,461.0,0.2,P.1,3,0.7
Germany,2021-04-11,117630,5874.0,5.0,P.1,15,0.3
Greece,2021-04-11,20066,5.0,0.0,P.1,0,0.0
Hungary,2021-04-11,35388,0.0,0.0,P.1,0,
Iceland,2021-04-11,42,0.0,0.0,P.1,0,
Ireland,2021-04-11,2797,516.0,18.4,P.1,2,0.4
Italy,2021-04-11,101550,637.0,0.6,P.1,33,5.2
Latvia,2021-04-11,3503,0.0,0.0,P.1,0,
Liechtenstein,2021-04-11,71,0.0,0.0,P.1,0,
Lithuania,2021-04-11,6571,27.0,0.4,P.1,0,0.0
Luxembourg,2021-04-11,1290,0.0,0.0,P.1,0,
Malta,2021-04-11,382,0.0,0.0,P.1,0,
Netherlands,2021-04-11,49814,708.0,1.4,P.1,17,2.4
Norway,2021-04-11,4946,28.0,0.6,P.1,0,0.0
Poland,2021-04-11,138184,178.0,0.1,P.1,0,0.0
Portugal,2021-04-11,4271,428.0,10.0,P.1,32,7.5
Romania,2021-04-11,30504,24.0,0.1,P.1,0,0.0
Slovakia,2021-04-11,5768,146.0,2.5,P.1,0,0.0
Slovenia,2021-04-11,6362,49.0,0.8,P.1,0,0.0
Spain,2021-04-11,58931,360.0,0.6,P.1,28,7.8
Sweden,2021-04-11,41170,278.0,0.7,P.1,0,0.0
Austria,2021-04-18,16316,0.0,0.0,B.1.1.7,0,
Belgium,2021-04-18,24366,204.0,0.8,B.1.1.7,168,82.4
Bulgaria,2021-04-18,14388,0.0,0.0,B.1.1.7,0,
Croatia,2021-04-18,15262,0.0,0.0,B.1.1.7,0,
Cyprus,2021-04-18,4754,0.0,0.0,B.1.1.7,0,
Czechia,2021-04-18,21527,10.0,0.0,B.1.1.7,10,100.0
Denmark,2021-04-18,5068,0.0,0.0,B.1.1.7,0,
Estonia,2021-04-18,3339,0.0,0.0,B.1.1.7,0,
Finland,2021-04-18,2009,0.0,0.0,B.1.1.7,0,
France,2021-04-18,230846,272.0,0.1,B.1.1.7,201,73.9
Germany,2021-04-18,142186,5270.0,3.7,B.1.1.7,5040,95.6
Greece,2021-04-18,19793,0.0,0.0,B.1.1.7,0,
Hungary,2021-04-18,27947,0.0,0.0,B.1.1.7,0,
Iceland,2021-04-18,62,0.0,0.0,B.1.1.7,0,
Ireland,2021-04-18,2563,72.0,2.8,B.1.1.7,67,93.1
Italy,2021-04-18,100317,220.0,0.2,B.1.1.7,206,93.6
Latvia,2021-04-18,3726,0.0,0.0,B.1.1.7,0,
Liechtenstein,2021-04-18,68,0.0,0.0,B.1.1.7,0,
Lithuania,2021-04-18,7449,0.0,0.0,B.1.1.7,0,
Luxembourg,2021-04-18,1303,0.0,0.0,B.1.1.7,0,
Malta,2021-04-18,365,0.0,0.0,B.1.1.7,0,
Netherlands,2021-04-18,53550,3.0,0.0,B.1.1.7,2,66.7
Norway,2021-04-18,3890,30.0,0.8,B.1.1.7,29,96.7
Poland,2021-04-18,108680,54.0,0.0,B.1.1.7,51,94.4
Portugal,2021-04-18,3456,21.0,0.6,B.1.1.7,15,71.4
Romania,2021-04-18,22582,2.0,0.0,B.1.1.7,2,100.0
Slovakia,2021-04-18,4899,0.0,0.0,B.1.1.7,0,
Slovenia,2021-04-18,5526,4.0,0.1,B.1.1.7,2,50.0
Spain,2021-04-18,58098,123.0,0.2,B.1.1.7,101,82.1
Sweden,2021-04-18,41065,233.0,0.6,B.1.1.7,228,97.9
Austria,2021-04-18,16316,0.0,0.0,B.1.351,0,
Belgium,2021-04-18,24366,204.0,0.8,B.1.351,2,1.0
Bulgaria,2021-04-18,14388,0.0,0.0,B.1.351,0,
Croatia,2021-04-18,15262,0.0,0.0,B.1.351,0,
Cyprus,2021-04-18,4754,0.0,0.0,B.1.351,0,
Czechia,2021-04-18,21527,10.0,0.0,B.1.351,0,0.0
Denmark,2021-04-18,5068,0.0,0.0,B.1.351,0,
Estonia,2021-04-18,3339,0.0,0.0,B.1.351,0,
Finland,2021-04-18,2009,0.0,0.0,B.1.351,0,
France,2021-04-18,230846,272.0,0.1,B.1.351,20,7.4
Germany,2021-04-18,142186,5270.0,3.7,B.1.351,81,1.5
Greece,2021-04-18,19793,0.0,0.0,B.1.351,0,
Hungary,2021-04-18,27947,0.0,0.0,B.1.351,0,
Iceland,2021-04-18,62,0.0,0.0,B.1.351,0,
Ireland,2021-04-18,2563,72.0,2.8,B.1.351,0,0.0
Italy,2021-04-18,100317,220.0,0.2,B.1.351,0,0.0
Latvia,2021-04-18,3726,0.0,0.0,B.1.351,0,
Liechtenstein,2021-04-18,68,0.0,0.0,B.1.351,0,
Lithuania,2021-04-18,7449,0.0,0.0,B.1.351,0,
Luxembourg,2021-04-18,1303,0.0,0.0,B.1.351,0,
Malta,2021-04-18,365,0.0,0.0,B.1.351,0,
Netherlands,2021-04-18,53550,3.0,0.0,B.1.351,0,0.0
Norway,2021-04-18,3890,30.0,0.8,B.1.351,0,0.0
Poland,2021-04-18,108680,54.0,0.0,B.1.351,0,0.0
Portugal,2021-04-18,3456,21.0,0.6,B.1.351,1,4.8
Romania,2021-04-18,22582,2.0,0.0,B.1.351,0,0.0
Slovakia,2021-04-18,4899,0.0,0.0,B.1.351,0,
Slovenia,2021-04-18,5526,4.0,0.1,B.1.351,0,0.0
Spain,2021-04-18,58098,123.0,0.2,B.1.351,0,0.0
Sweden,2021-04-18,41065,233.0,0.6,B.1.351,1,0.4
Austria,2021-04-18,16316,0.0,0.0,Other,0,
Belgium,2021-04-18,24366,204.0,0.8,Other,10,4.9
Bulgaria,2021-04-18,14388,0.0,0.0,Other,0,
Croatia,2021-04-18,15262,0.0,0.0,Other,0,
Cyprus,2021-04-18,4754,0.0,0.0,Other,0,
Czechia,2021-04-18,21527,10.0,0.0,Other,0,0.0
Denmark,2021-04-18,5068,0.0,0.0,Other,0,
Estonia,2021-04-18,3339,0.0,0.0,Other,0,
Finland,2021-04-18,2009,0.0,0.0,Other,0,
France,2021-04-18,230846,272.0,0.1,Other,35,12.9
Germany,2021-04-18,142186,5270.0,3.7,Other,143,2.7
Greece,2021-04-18,19793,0.0,0.0,Other,0,
Hungary,2021-04-18,27947,0.0,0.0,Other,0,
Iceland,2021-04-18,62,0.0,0.0,Other,0,
Ireland,2021-04-18,2563,72.0,2.8,Other,5,6.9
Italy,2021-04-18,100317,220.0,0.2,Other,5,2.3
Latvia,2021-04-18,3726,0.0,0.0,Other,0,
Liechtenstein,2021-04-18,68,0.0,0.0,Other,0,
Lithuania,2021-04-18,7449,0.0,0.0,Other,0,
Luxembourg,2021-04-18,1303,0.0,0.0,Other,0,
Malta,2021-04-18,365,0.0,0.0,Other,0,
Netherlands,2021-04-18,53550,3.0,0.0,Other,1,33.3
Norway,2021-04-18,3890,30.0,0.8,Other,1,3.3
Poland,2021-04-18,108680,54.0,0.0,Other,1,1.9
Portugal,2021-04-18,3456,21.0,0.6,Other,3,14.3
Romania,2021-04-18,22582,2.0,0.0,Other,0,0.0
Slovakia,2021-04-18,4899,0.0,0.0,Other,0,
